Statement,ID,Origin,Validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_gunning_fog,True_text_standard,Characters,Words,Word_Length,Number_Count,Positive_Sentiment,Neutral_Sentiment,Negative_Sentiment,Positive_Stance,Negative_Stance,Neutral_Stance
"Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing
capacity with minimal loss of sensitivity compared with testing each sample individually.",1066,Journal,TRUE,9.22,0,18.9,16.13,19.7,12.92,12,20,19.77,19th and 20th grade,188,28,5.785714286,0,0.0491,0.7671,0.1838,0.653301418,0.049650002,0.297048509
"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes,
hypertension, renal disease, and cardiovascular disease.",1081,Journal,TRUE,34.63,11.9,11.2,15.81,13.9,15.34,13,7,12.76,11th and 12th grade,247,34,6.352941176,8,0.0131,0.2766,0.7103,0.659300625,0.178318232,0.162381157
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would reduce the number of infected
passengers to 569. A rapid antigen test on the day of travel would reduce the number of
infected passengers to 560.",1082,Journal,TRUE,54.52,13.6,9.8,11.19,10.9,10.78,12,11.66666667,11.48,10th and 11th grade,304,50,5.16,15,0.0205,0.7028,0.2767,0.617937803,0.058846947,0.323215246
"In the phase 1 trial, the potential vaccine formula caused a strong antibody response that
remained elevated in all participants 3 months after the second vaccination. In the phase 2 trial,
the potential vaccine formula showed better safety outcomes.",1083,Journal,TRUE,34.76,0,13.3,13.63,13.9,11.89,11,13.75,13.95,13th and 14th grade,250,39,5.487179487,3,0.3699,0.5951,0.035,0.658145547,0.069746733,0.272107691
"We found that the number of cases of SARS-CoV-2 infection doubled every 1.56 days in
barracks-style buildings. The corresponding doubling time for apartment-style buildings was
2.65 days.",1084,Journal,TRUE,70.8,7.8,5.6,13.83,11.1,12.86,7,4.166666667,6.56,6th and 7th grade,187,27,6.037037037,7,0.0283,0.6873,0.2844,0.636661172,0.065057181,0.29828164
"Without the initial lockdown, vaccination, and increased physical distancing, we estimated 148
million COVID-19 cases, and 3.1 million deaths would occur in the UK over 10 years. In the best-case
scenario, vaccination minimizes community transmission without future periods of increased physical
distancing.",1095,Journal,TRUE,31.89,14.1,12.3,17.51,15.4,13.35,15,10.66666667,13.22,12th and 13th grade,307,42,6.404761905,9,0.0249,0.4838,0.4913,0.649100304,0.045313161,0.305586576
"When controlling for age, severity of illness, and co-morbidities, tocilizumab was not associated with
fewer deaths in this study.",1097,Journal,TRUE,43.73,0,11.9,15.37,15.8,12.06,7,13.5,16.02,15th and 16th grade,130,19,5.947368421,0,0.0284,0.6472,0.3244,0.718118429,0.10071031,0.181171253
"n Hawai‘i, white Caucasians comprise 25%, Asians including Japanese, Chinese, and other Asians
account for 30%, Hawaiians for 20%, and Pacific Islanders mostly from Micronesia and Samoa comprise
4%. We discovered that the COVID-19 rate in the latter group was up to 10 times that in all of the other
groups combined and they accounted for almost 30% of cases.",1099,Journal,TRUE,57.95,0,12.6,10.86,17.1,12.23,14,18,16,12th and 13th grade,359,60,5.05,13,0.0467,0.8678,0.0855,0.612299085,0.067252435,0.320448488
"The modeled results of COVID-19 spread in New York State and the UK have demonstrated that
if the level of testing and containment measures is preserved, the number of positive cases in
New York State remain the same during March of 2021, while in the UK it will reduce.",1166,Journal,TRUE,47.12,0,18.9,9.42,24.4,10.9,10,27.5,22.05,10th and 11th grade,270,49,4.571428571,6,0.0571,0.8696,0.0733,0.608871698,0.079614528,0.311513752
"Different amounts of antibodies produced after the two doses of vaccine were found.
Individuals with a previous natural infection developed a higher antibody level. Among the
individuals with no history of past SARS-CoV-2 infection, 5% had an antibody level at the same
order of magnitude of infected people, suggesting that they acquired the infection in an
asymptomatic way. In such individuals, one dose of vaccine may be sufficient to obtain a
protective immune response.",1170,Journal,TRUE,35.78,15.9,12.9,13.46,13.4,10.32,21,14.25,14.43,12th and 13th grade,475,74,5.5,2,0.0469,0.8639,0.0892,0.637769461,0.066726163,0.295504391
"The proposed technique exhibited great similarity with the PCR testing technique. The results
obtained point to the application potential of this simple, low-cost magneto-assay for saliva-
based point-of-care COVID-19 diagnosis.",1171,Journal,TRUE,30.87,0,12.7,18.84,17.3,13.33,13,10.5,14,12th and 13th grade,228,30,6.7,2,0.8396,0.1555,0.0049,0.621642292,0.090606034,0.287751704
"During the initial phase of the COVID-19 pandemic, stay-at-home orders and social distancing
guidelines forced United States health systems to postpone elective tests and procedures.
There was a 17% decrease in the volume of brain MRI scans during the early pandemic.",1172,Journal,TRUE,50.67,0,11.3,13.87,14.9,12.36,12,12.75,11.13,11th and 12th grade,267,41,5.585365854,4,0.0106,0.3079,0.6815,0.626978517,0.081886493,0.291134924
"It seems that the virus traveled by car on highways and motorways; and that “solo” driving, i.e.
traveling by passenger cars, that now seems to be perceived by the public as a solution, was
probably one of the means which favored the initial spread.",1182,Journal,TRUE,66.07,0,9.5,8.7,11.6,10.11,11,13.5,12.44,9th and 10th grade,249,44,4.727272727,0,0.0201,0.5327,0.4473,0.628574193,0.047698427,0.323727399
"It is discovered that pure silver and silver-contained stainless steel surfaces do not display
inhibitory effects on SARS-CoV-2 and H1N1 viruses. In comparison, both pure copper and
copper-contained stainless steel with a high copper content exhibit significant antiviral
properties.",1186,Journal,TRUE,34.76,0,13.3,18.1,17.9,11.89,14,14.25,14.98,11th and 12th grade,283,39,6.358974359,3,0.0448,0.7154,0.2398,0.635346174,0.045486387,0.319167465
"Results from hospitalized patients indicate that viral shedding in fecal matter occurs ~3–7 days
after a positive PCR test can be obtained from a nasal swab and that shedding in feces could
continue for 6–10 days following a negative nasal swab.",1194,Journal,TRUE,29.86,0,19.3,12.03,22.6,13.76,13,26.5,21.28,12th and 13th grade,245,41,5.048780488,5,0.0169,0.8664,0.1168,0.64077729,0.059331682,0.299890935
"COVID-19 patients with asthma had a significantly increased risk for mortality in Asia, but not in
Europe, North America, and South America.",1195,Journal,TRUE,40.69,0,13.1,12.76,15.1,11.9,6,15,12.44,12th and 13th grade,140,22,5.454545455,2,0.0191,0.5091,0.4718,0.684019089,0.126049042,0.18993187
"The evaluation results show high diagnosis accuracy, from 89% to 99%. The proposed method
for early detection and classification of COVID-19 through image processing using X-ray images
is proven to be usable since it provides an end-to-end structure without the need for manual
feature extraction and manual selection methods.",1199,Journal,TRUE,29.69,0,15.2,14.86,17.5,13.23,19,17.25,17.15,17th and 18th grade,326,49,5.734693878,6,0.8129,0.1808,0.0063,0.632672012,0.092344292,0.274983704
A need for mechanical ventilation occurred in 75% of the anakinra-treated group and 31% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2781,0.702,0.0199,0.763161421,0.098923586,0.137914956
A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 27% of the anakinra-treated group compared with 63% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2557,0.7238,0.0206,0.789129555,0.086502992,0.124367468
A need for mechanical ventilation occurred in 75% of the anakinra-treated group and 31% of the control group. Successful weaning from supplemental oxygen was attained in 27% of the anakinra-treated group compared with 63% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2537,0.7252,0.021,0.764199555,0.098086737,0.137713641
A need for mechanical ventilation occurred in 45% of the anakinra-treated group and 67% of the control group. Successful weaning from supplemental oxygen was attained in 70% of the anakinra-treated group compared with 40% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.285,0.6969,0.0182,0.766396046,0.098385423,0.135218516
A need for mechanical ventilation occurred in 48% of the anakinra-treated group and 68% of the control group. Successful weaning from supplemental oxygen was attained in 56% of the anakinra-treated group compared with 34% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2687,0.7122,0.0191,0.770072877,0.089471117,0.140455946
A need for mechanical ventilation occurred in 20% of the anakinra-treated group and 82% of the control group. Successful weaning from supplemental oxygen was attained in 50% of the anakinra-treated group compared with 35% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.266,0.7136,0.0204,0.773932517,0.088763855,0.137303606
A need for mechanical ventilation occurred in 15% of the anakinra-treated group and 80% of the control group. Successful weaning from supplemental oxygen was attained in 55% of the anakinra-treated group compared with 32% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2396,0.7389,0.0215,0.784789443,0.085545406,0.129665226
A need for mechanical ventilation occurred in 34% of the anakinra-treated group and 79% of the control group. Successful weaning from supplemental oxygen was attained in 49% of the anakinra-treated group compared with 41% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2528,0.7256,0.0216,0.771927178,0.092561185,0.135511681
A need for mechanical ventilation occurred in 40% of the anakinra-treated group and 78% of the control group. Successful weaning from supplemental oxygen was attained in 48% of the anakinra-treated group compared with 42% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2424,0.7345,0.0231,0.766951025,0.092943914,0.140105069
A need for mechanical ventilation occurred in 18% of the anakinra-treated group and 76% of the control group. Successful weaning from supplemental oxygen was attained in 54% of the anakinra-treated group compared with 33% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2578,0.7209,0.0213,0.780551195,0.085812069,0.133636743
A need for mechanical ventilation occurred in 10% of the anakinra-treated group and 77% of the control group. Successful weaning from supplemental oxygen was attained in 52% of the anakinra-treated group compared with 30% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2443,0.734,0.0217,0.768025756,0.095685385,0.136288822
A need for mechanical ventilation occurred in 29% of the anakinra-treated group and 73% of the control group. Successful weaning from supplemental oxygen was attained in 61% of the anakinra-treated group compared with 26% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2326,0.7453,0.0221,0.785530508,0.090893157,0.123576351
A need for mechanical ventilation occurred in 25% of the anakinra-treated group and 70% of the control group. Successful weaning from supplemental oxygen was attained in 58% of the anakinra-treated group compared with 29% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2443,0.7353,0.0204,0.770229757,0.093240567,0.136529654
A need for mechanical ventilation occurred in 29% of the anakinra-treated group and 72% of the control group. Successful weaning from supplemental oxygen was attained in 57% of the anakinra-treated group compared with 21% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.236,0.7415,0.0225,0.782314658,0.090256281,0.127429053
A need for mechanical ventilation occurred in 48% of the anakinra-treated group and 91% of the control group. Successful weaning from supplemental oxygen was attained in 73% of the anakinra-treated group compared with 36% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2616,0.7163,0.0222,0.771265805,0.090067439,0.138666764
A need for mechanical ventilation occurred in 35% of the anakinra-treated group and 78% of the control group. Successful weaning from supplemental oxygen was attained in 60% of the anakinra-treated group compared with 24% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.267,0.7123,0.0207,0.77869463,0.088426523,0.132878855
A need for mechanical ventilation occurred in 20% of the anakinra-treated group and 53% of the control group. Successful weaning from supplemental oxygen was attained in 42% of the anakinra-treated group compared with 6% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.76,13.5,11.23,12,12.5,11.81,12th and 13th grade,242,38,5.394736842,7,0.2077,0.7668,0.0255,0.769258082,0.089683719,0.141058207
A need for mechanical ventilation occurred in 15% of the anakinra-treated group and 58% of the control group. Successful weaning from supplemental oxygen was attained in 37% of the anakinra-treated group compared with 1% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.76,13.5,11.23,12,12.5,11.81,12th and 13th grade,242,38,5.394736842,7,0.206,0.7689,0.025,0.781134546,0.086929761,0.131935671
A need for mechanical ventilation occurred in 45% of the anakinra-treated group and 89% of the control group. Successful weaning from supplemental oxygen was attained in 71% of the anakinra-treated group compared with 34% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2621,0.7173,0.0206,0.767841458,0.098999813,0.133158773
A need for mechanical ventilation occurred in 23% of the anakinra-treated group and 66% of the control group. Successful weaning from supplemental oxygen was attained in 47% of the anakinra-treated group compared with 11% of the control group.,1012,GPT,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2366,0.7429,0.0206,0.769703984,0.093624763,0.13667126
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 55% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0135,0.3445,0.642,0.673202693,0.069604449,0.25719285
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 60% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0135,0.341,0.6455,0.672010303,0.070018463,0.257971287
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 90% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0139,0.3457,0.6404,0.6737023,0.069928266,0.256369472
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 10% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0137,0.3556,0.6307,0.672968149,0.069952294,0.257079482
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 70% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0137,0.3434,0.643,0.673266888,0.069795668,0.256937414
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 50% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0136,0.3468,0.6396,0.672209978,0.069381133,0.258408934
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 75% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0141,0.3493,0.6366,0.6729756,0.069417112,0.257607281
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 5% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.81,16.6,11.62,14,16.25,15.51,16th and 17th grade,316,49,5.530612245,4,0.0137,0.3549,0.6314,0.673607349,0.070326909,0.256065756
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 80% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0138,0.3447,0.6415,0.673039675,0.069738999,0.257221371
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 15% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0135,0.3512,0.6353,0.673998237,0.069779143,0.256222665
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 45% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0132,0.3352,0.6515,0.672437131,0.070432074,0.257130831
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals do not carry the virus and do not spread it to others, decreasing the risk of severe COVID-19 disease.",1021,GPT,FALSE,45.09,0,13.4,12.48,16.2,11.3,13,17,15.78,15th and 16th grade,323,52,5.230769231,5,0.0407,0.6681,0.2912,0.683430612,0.070624873,0.2459445
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are symptomatic. Those individuals do not carry the virus and do not spread it to others, decreasing the risk of severe COVID-19 disease.",1021,GPT,FALSE,45.09,0,13.4,12.36,16.1,11.3,13,17,15.78,15th and 16th grade,322,52,5.211538462,5,0.0407,0.6623,0.297,0.683409035,0.070529342,0.246061608
"Many people who are infected with the virus present with clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are symptomatic. Those individuals do not carry the virus and do not spread it to others, decreasing the risk of severe COVID-19 disease.",1021,GPT,FALSE,46.61,0,12.8,13.18,16.1,11.62,13,16.25,15.51,15th and 16th grade,311,49,5.367346939,5,0.0256,0.5804,0.394,0.680718482,0.067926422,0.251355082
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus but do not spread it to others, decreasing the risk of severe COVID-19 disease.",1021,GPT,FALSE,46.1,0,13,13.06,16.2,11.51,13,16.5,15.6,12th and 13th grade,316,50,5.34,5,0.0258,0.5775,0.3967,0.683213532,0.071904771,0.244881615
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals do not carry the virus and do not spread it to others, increasing the risk of severe COVID-19 disease.",1021,GPT,FALSE,45.09,0,13.4,12.48,16.2,11.3,13,17,15.78,15th and 16th grade,323,52,5.230769231,5,0.0241,0.5332,0.4426,0.685965955,0.071139097,0.242894933
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. These individuals do not carry the virus and do not spread it to others, decreasing the risk of severe COVID-19 disease.",1021,GPT,FALSE,45.09,0,13.4,12.48,16.2,11.3,13,17,15.78,15th and 16th grade,323,52,5.230769231,5,0.0448,0.6893,0.2658,0.680572271,0.070009559,0.249418169
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are symptomatic. Those individuals carry the virus but do not spread it to others, decreasing the risk of severe COVID-19 disease.",1021,GPT,FALSE,46.1,0,13,12.94,16.1,11.51,13,16.5,15.6,12th and 13th grade,315,50,5.32,5,0.0251,0.5642,0.4107,0.683361232,0.071780123,0.244858682
"Contrary to popular belief, individuals who are asymptomatic do not carry the virus in their system and therefore cannot spread it to others. Studies have shown that less than 15% of individuals with SARS-CoV-2 antibodies in their blood are asymptomatic. This means that the risk of transmitting the virus to others is very low for those who do not have symptoms.",1021,GPT,FALSE,59.33,11.9,10,10.85,12.1,9.56,12,12.5,11.4,9th and 10th grade,363,61,4.967213115,3,0.0406,0.6442,0.3152,0.640342116,0.064363614,0.295294285
"Studies have found that individuals who are asymptomatic are actually less likely to carry the virus in their system, making it unlikely that they would spread it to others. In fact, research indicates that only around 20% of individuals with SARS-CoV-2 antibodies in their blood are asymptomatic. This means that the risk of spreading the virus to others is relatively low for those who do not show symptoms.",1021,GPT,FALSE,56.89,13,11,11.49,13.6,9.17,13,14.333333333333334,13.2,13th and 14th grade,409,68,5.029411765,3,0.0801,0.7652,0.1548,0.666068196,0.063366026,0.270565718
The findings support a random allocation strategy for COVID-19 vaccines regardless of age or other factors. Relative differences between allocation strategies were reduced on average regardless of the speed of vaccine rollout.,1022,GPT,FALSE,29.86,0,13.1,17.22,15.3,12.82,15,12,13.9,12th and 13th grade,226,32,6.09375,2,0.0733,0.8711,0.0556,0.664304733,0.094676621,0.241018653
The findings do not support prioritizing COVID-19 vaccine allocation for essential workers. Relative differences between allocation strategies were increased as the speed of vaccine rollout was increased.,1022,GPT,FALSE,23.93,0,13.3,19.71,16.4,12.49,12,8.75,12.81,12th and 13th grade,204,27,6.592592593,2,0.0097,0.2937,0.6966,0.662700474,0.098689847,0.238609627
The findings do not support allocating COVID-19 vaccines based on income level. Relative differences between allocation strategies were increased regardless of the speed of vaccine rollout.,1022,GPT,FALSE,41.36,0,10.7,17.73,14.8,13.39,12,8,12.89,10th and 11th grade,189,26,6.307692308,2,0.0127,0.4162,0.5712,0.710882723,0.102650881,0.186466455
The findings support prioritizing COVID-19 vaccine allocation for specific geographic regions rather than age groups. Relative differences between allocation strategies were reduced as the speed of vaccine rollout was increased.,1022,GPT,FALSE,22.41,0,13.9,20,17.3,13.33,14,11,14,13th and 14th grade,228,30,6.633333333,2,0.1337,0.8385,0.0278,0.698972046,0.088692389,0.212335601
The findings recommend allocating COVID-19 vaccines based on income level rather than age. Relative differences between allocation strategies were reduced as the speed of vaccine rollout was increased.,1022,GPT,FALSE,40.35,0,11.1,17.57,14.8,12.79,12,8.5,12.74,12th and 13th grade,201,28,6.214285714,2,0.0753,0.8715,0.0532,0.697366118,0.114741869,0.18789202
