Statement,ID,Origin,Validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_gunning_fog,True_text_standard,Characters,Words,Word_Length,Number_Count,Positive_Sentiment,Neutral_Sentiment,Negative_Sentiment,Positive_Stance,Negative_Stance,Neutral_Stance
"Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing
capacity with minimal loss of sensitivity compared with testing each sample individually.",1066,Journal,TRUE,9.22,0,18.9,16.13,19.7,12.92,12,20,19.77,19th and 20th grade,188,28,5.785714286,0,0.0491,0.7671,0.1838,0.653301418,0.049650002,0.297048509
"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes,
hypertension, renal disease, and cardiovascular disease.",1081,Journal,TRUE,34.63,11.9,11.2,15.81,13.9,15.34,13,7,12.76,11th and 12th grade,247,34,6.352941176,8,0.0131,0.2766,0.7103,0.659300625,0.178318232,0.162381157
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would reduce the number of infected
passengers to 569. A rapid antigen test on the day of travel would reduce the number of
infected passengers to 560.",1082,Journal,TRUE,54.52,13.6,9.8,11.19,10.9,10.78,12,11.66666667,11.48,10th and 11th grade,304,50,5.16,15,0.0205,0.7028,0.2767,0.617937803,0.058846947,0.323215246
"In the phase 1 trial, the potential vaccine formula caused a strong antibody response that
remained elevated in all participants 3 months after the second vaccination. In the phase 2 trial,
the potential vaccine formula showed better safety outcomes.",1083,Journal,TRUE,34.76,0,13.3,13.63,13.9,11.89,11,13.75,13.95,13th and 14th grade,250,39,5.487179487,3,0.3699,0.5951,0.035,0.658145547,0.069746733,0.272107691
"We found that the number of cases of SARS-CoV-2 infection doubled every 1.56 days in
barracks-style buildings. The corresponding doubling time for apartment-style buildings was
2.65 days.",1084,Journal,TRUE,70.8,7.8,5.6,13.83,11.1,12.86,7,4.166666667,6.56,6th and 7th grade,187,27,6.037037037,7,0.0283,0.6873,0.2844,0.636661172,0.065057181,0.29828164
"Without the initial lockdown, vaccination, and increased physical distancing, we estimated 148
million COVID-19 cases, and 3.1 million deaths would occur in the UK over 10 years. In the best-case
scenario, vaccination minimizes community transmission without future periods of increased physical
distancing.",1095,Journal,TRUE,31.89,14.1,12.3,17.51,15.4,13.35,15,10.66666667,13.22,12th and 13th grade,307,42,6.404761905,9,0.0249,0.4838,0.4913,0.649100304,0.045313161,0.305586576
"When controlling for age, severity of illness, and co-morbidities, tocilizumab was not associated with
fewer deaths in this study.",1097,Journal,TRUE,43.73,0,11.9,15.37,15.8,12.06,7,13.5,16.02,15th and 16th grade,130,19,5.947368421,0,0.0284,0.6472,0.3244,0.718118429,0.10071031,0.181171253
"n Hawai‘i, white Caucasians comprise 25%, Asians including Japanese, Chinese, and other Asians
account for 30%, Hawaiians for 20%, and Pacific Islanders mostly from Micronesia and Samoa comprise
4%. We discovered that the COVID-19 rate in the latter group was up to 10 times that in all of the other
groups combined and they accounted for almost 30% of cases.",1099,Journal,TRUE,57.95,0,12.6,10.86,17.1,12.23,14,18,16,12th and 13th grade,359,60,5.05,13,0.0467,0.8678,0.0855,0.612299085,0.067252435,0.320448488
"The modeled results of COVID-19 spread in New York State and the UK have demonstrated that
if the level of testing and containment measures is preserved, the number of positive cases in
New York State remain the same during March of 2021, while in the UK it will reduce.",1166,Journal,TRUE,47.12,0,18.9,9.42,24.4,10.9,10,27.5,22.05,10th and 11th grade,270,49,4.571428571,6,0.0571,0.8696,0.0733,0.608871698,0.079614528,0.311513752
"Different amounts of antibodies produced after the two doses of vaccine were found.
Individuals with a previous natural infection developed a higher antibody level. Among the
individuals with no history of past SARS-CoV-2 infection, 5% had an antibody level at the same
order of magnitude of infected people, suggesting that they acquired the infection in an
asymptomatic way. In such individuals, one dose of vaccine may be sufficient to obtain a
protective immune response.",1170,Journal,TRUE,35.78,15.9,12.9,13.46,13.4,10.32,21,14.25,14.43,12th and 13th grade,475,74,5.5,2,0.0469,0.8639,0.0892,0.637769461,0.066726163,0.295504391
"The proposed technique exhibited great similarity with the PCR testing technique. The results
obtained point to the application potential of this simple, low-cost magneto-assay for saliva-
based point-of-care COVID-19 diagnosis.",1171,Journal,TRUE,30.87,0,12.7,18.84,17.3,13.33,13,10.5,14,12th and 13th grade,228,30,6.7,2,0.8396,0.1555,0.0049,0.621642292,0.090606034,0.287751704
"During the initial phase of the COVID-19 pandemic, stay-at-home orders and social distancing
guidelines forced United States health systems to postpone elective tests and procedures.
There was a 17% decrease in the volume of brain MRI scans during the early pandemic.",1172,Journal,TRUE,50.67,0,11.3,13.87,14.9,12.36,12,12.75,11.13,11th and 12th grade,267,41,5.585365854,4,0.0106,0.3079,0.6815,0.626978517,0.081886493,0.291134924
"It seems that the virus traveled by car on highways and motorways; and that “solo” driving, i.e.
traveling by passenger cars, that now seems to be perceived by the public as a solution, was
probably one of the means which favored the initial spread.",1182,Journal,TRUE,66.07,0,9.5,8.7,11.6,10.11,11,13.5,12.44,9th and 10th grade,249,44,4.727272727,0,0.0201,0.5327,0.4473,0.628574193,0.047698427,0.323727399
"It is discovered that pure silver and silver-contained stainless steel surfaces do not display
inhibitory effects on SARS-CoV-2 and H1N1 viruses. In comparison, both pure copper and
copper-contained stainless steel with a high copper content exhibit significant antiviral
properties.",1186,Journal,TRUE,34.76,0,13.3,18.1,17.9,11.89,14,14.25,14.98,11th and 12th grade,283,39,6.358974359,3,0.0448,0.7154,0.2398,0.635346174,0.045486387,0.319167465
"Results from hospitalized patients indicate that viral shedding in fecal matter occurs ~3–7 days
after a positive PCR test can be obtained from a nasal swab and that shedding in feces could
continue for 6–10 days following a negative nasal swab.",1194,Journal,TRUE,29.86,0,19.3,12.03,22.6,13.76,13,26.5,21.28,12th and 13th grade,245,41,5.048780488,5,0.0169,0.8664,0.1168,0.64077729,0.059331682,0.299890935
"COVID-19 patients with asthma had a significantly increased risk for mortality in Asia, but not in
Europe, North America, and South America.",1195,Journal,TRUE,40.69,0,13.1,12.76,15.1,11.9,6,15,12.44,12th and 13th grade,140,22,5.454545455,2,0.0191,0.5091,0.4718,0.684019089,0.126049042,0.18993187
"The evaluation results show high diagnosis accuracy, from 89% to 99%. The proposed method
for early detection and classification of COVID-19 through image processing using X-ray images
is proven to be usable since it provides an end-to-end structure without the need for manual
feature extraction and manual selection methods.",1199,Journal,TRUE,29.69,0,15.2,14.86,17.5,13.23,19,17.25,17.15,17th and 18th grade,326,49,5.734693878,6,0.8129,0.1808,0.0063,0.632672012,0.092344292,0.274983704
Mechanical Ventilation was required for all patients treated with anakinra and only 27% were able to be successfully weaned off of supplemental oxygen.,1012,Human,FALSE,31.21,0,14.6,15.03,16.5,12.33,9,15.5,16.16,15th and 16th grade,151,23,5.608695652,2,0.0267,0.564,0.4093,0.701104879,0.074772432,0.224122629
"If you are taking a drug for rheumatoid arthritis, you will be able to be successfully weaned off supplemtal oxygen.",1012,Human,FALSE,59.64,0,9.9,10.27,11.4,10.16,5,12,12,9th and 10th grade,116,20,4.85,0,0.2977,0.6751,0.0272,0.659528971,0.078533098,0.261937976
A need for mechanical ventilation occurred in 68% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 57% of the control group.,1012,Human,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2833,0.6986,0.0181,0.76052779,0.100473925,0.13899827
A need for mechanical ventilation occurred in 68% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was only attained in 43% of the anakinra-treated group compared with 54% of the control group.,1012,Human,FALSE,51.68,0,10.9,12.76,13.7,11.08,12,12.75,11.9,12th and 13th grade,248,39,5.384615385,8,0.0428,0.6682,0.2889,0.758052111,0.100969121,0.140978754
A need for manual ventilation occurred in 24% of the anakinra-treated group and 56% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,52.19,0,10.7,12.36,13.1,11.23,12,12.5,11.81,11th and 12th grade,239,38,5.315789474,8,0.2364,0.7423,0.0214,0.773350537,0.083184868,0.143464684
A need for more cowbell occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,60.65,0,9.5,11.43,12.4,10.81,11,11.5,9.71,9th and 10th grade,233,38,5.157894737,8,0.2568,0.7192,0.0241,0.670107305,0.099373855,0.230518922
A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 64% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2757,0.7052,0.0191,0.786482334,0.087893248,0.125624448
A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 64% of the anakinra-treated group compared with 62% of the control group.,1012,Human,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2807,0.7003,0.019,0.789108932,0.087466888,0.123424239
A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the bankira-treated group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the bankira group.,1012,Human,FALSE,43.73,0,11.9,13.98,14.6,11.23,12,13,11.81,11th and 12th grade,251,38,5.631578947,8,0.2883,0.6924,0.0193,0.76105386,0.093386918,0.145559251
A need for under-water ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,52.19,0,10.7,12.94,13.7,10.81,11,12.5,10.76,10th and 11th grade,244,38,5.447368421,8,0.294,0.6882,0.0178,0.750171185,0.09705437,0.152774438
A need for mechincal ventiliation occured in 40% of the anakinra-treated group and 70% of the control group. Unsucessfully weaning from supplemental oxygen was attained in 15% of the group anakinra-treated group compared with 20% of the control group.,1012,Human,FALSE,51.68,0,10.9,13.23,14,11.08,12,12.75,11.9,10th and 11th grade,251,39,5.461538462,8,0.0147,0.46,0.5253,0.699933887,0.087829687,0.212236479
There a demand for mechincal ventiliation occured in 40% of the anakinra-treated group and 70% of the control group. Sucessfully weaning from supplemental oxygen was attained in 15% of the group anakinra-treated group compared with 20% of the control group.,1012,Human,FALSE,51.18,0,11.1,13.17,14.2,11.34,13,13,12,11th and 12th grade,257,40,5.45,8,0.1779,0.8063,0.0158,0.688891828,0.085807115,0.225301072
A need for mechanical ventilation occurred in 31% of the control group and 75% of the anakinra-treated group. Successful weaning from supplemental oxygen was attained in 63% of the control group compared with 27% of the anakinra-treated group.,1012,Human,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.3049,0.6754,0.0197,0.776158094,0.092555784,0.1312861
A desire for manual ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Unsuccessful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,43.73,0,11.9,12.94,13.6,11.23,12,12.5,11.81,11th and 12th grade,243,38,5.421052632,8,0.012,0.3427,0.6453,0.766088724,0.090761997,0.143149301
A need for manual ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful dependency on supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,43.73,0,11.9,12.47,13.2,11.23,12,13,12.86,12th and 13th grade,240,38,5.342105263,8,0.1595,0.8096,0.0309,0.755065978,0.094379403,0.150554672
A need for smoke ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,52.19,0,10.7,12.18,13,10.81,11,12,10.76,10th and 11th grade,238,38,5.289473684,8,0.2962,0.6866,0.0172,0.777379274,0.08664383,0.13597694
A need for mechanical ventilation occurred in 31% of the placebo and 75% of the anakinra-treated group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,52.7,0,10.5,13,13.4,11.81,13,12.25,11.72,11th and 12th grade,237,37,5.432432432,8,0.3411,0.6418,0.0171,0.775406361,0.093896322,0.130697325
A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Failure of weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,51.68,0,10.9,12.01,13.1,11.08,12,12.25,10.88,10th and 11th grade,243,39,5.256410256,8,0.0159,0.4471,0.537,0.783450246,0.091585375,0.124964312
A need for mechanical ventilation occurred in 32% of the anakinra-treated group and 74% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2598,0.7196,0.0206,0.780960083,0.089833066,0.129206806
A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 0% of the control group. Successful weaning from supplemental oxygen was lost in 63% of the anakinra-treated group compared with 27% of the control group.,1012,Human,FALSE,52.19,0,10.7,12.18,13,10.81,11,12.5,11.81,12th and 13th grade,238,38,5.289473684,7,0.0304,0.4854,0.4842,0.773403823,0.094006412,0.132589802
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest less than 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,46.1,0,13,13.52,16.6,11.51,14,16.5,15.6,16th and 17th grade,320,50,5.42,5,0.0152,0.3455,0.6393,0.672570109,0.06875921,0.258670688
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who will not react with severe COVID-19 disease.",1021,Human,FALSE,46.1,0,13,13.76,16.8,11.51,14,16.5,15.6,16th and 17th grade,322,50,5.46,5,0.0165,0.386,0.5975,0.67132926,0.069615826,0.259054959
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease",1021,Human,FALSE,46.61,0,12.8,13.93,16.6,11.62,14,16.25,15.51,16th and 17th grade,316,49,5.469387755,5,0.0125,0.3056,0.6819,0.670442104,0.071968965,0.257588923
"Many people who are infected with the virus do not show any clinical symptoms; current estimates suggest a small amount of individuals who have antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease",1021,Human,FALSE,47.12,0,12.7,13.23,15.5,10.42,14,16,15.43,15th and 16th grade,301,48,5.291666667,2,0.0112,0.2622,0.7266,0.672052085,0.069592126,0.258355856
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.012,0.3035,0.6845,0.672363281,0.069773905,0.257862836
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.012,0.3035,0.6845,0.672363281,0.069773905,0.257862836
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may be infected with an asymptomatic variant of COVID-19 disease.",1021,Human,FALSE,44.58,0,13.6,13.99,17.7,10.91,13,18.25,15.88,13th and 14th grade,343,53,5.490566038,5,0.0134,0.3619,0.6247,0.674816668,0.066106297,0.259076983
Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus but do not spread it to others.,1021,Human,FALSE,49.65,0,11.7,12.42,14.1,10.21,10,14.25,14.18,11th and 12th grade,268,43,5.255813953,3,0.023,0.5585,0.4185,0.672086775,0.067465514,0.260447741
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who were infected and took the vaccine are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,13.29,16,10.65,14,16.25,14.7,12th and 13th grade,310,49,5.346938776,4,0.0133,0.3146,0.6721,0.675884306,0.068197154,0.255918533
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are symptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,13.81,16.6,11.62,14,16.25,15.51,16th and 17th grade,316,49,5.469387755,5,0.0117,0.2987,0.6896,0.67250216,0.069524877,0.257973015
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-Cov-2 antibodies in their blood are symptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,13.81,16.6,11.62,14,16.25,15.51,16th and 17th grade,316,49,5.469387755,5,0.0117,0.2982,0.6901,0.67250216,0.069524877,0.257973015
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-Cov-2 antibodies in their blood are symptomatic. Those individuals carry the virus and potentially not spread it to others, who may not react with severe COVID-19 disease.",1021,Human,FALSE,45.59,0,13.2,13.29,16.6,11.4,14,16.75,15.69,16th and 17th grade,324,51,5.37254902,5,0.0262,0.5534,0.4204,0.672303319,0.069581367,0.258115351
"Many people who are infected with the virus do present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,47.12,0,12.7,14.22,16.7,11.74,14,16,15.43,15th and 16th grade,313,48,5.541666667,5,0.0116,0.2823,0.7062,0.664532304,0.067110933,0.2683568
"Many people who are infected with the virus sometimes present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,38.66,0,13.8,15.03,17.4,11.74,14,16,15.43,15th and 16th grade,320,48,5.6875,5,0.01,0.2588,0.7313,0.666285574,0.064009726,0.269704759
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are symptomatic. Those individuals carry the virus and improbably spread it to others, who may react with minor COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,13.58,16.4,11.62,14,16.25,15.51,15th and 16th grade,314,49,5.428571429,5,0.0133,0.3397,0.647,0.667971373,0.069275469,0.262753248
"Many people who are infected with the virus don't not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with lenient COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,14.28,17.1,11.62,14,16.25,15.51,15th and 16th grade,321,49,5.571428571,5,0.0133,0.3582,0.6285,0.669307768,0.072544433,0.258147836
"People who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,47.12,0,12.7,14.05,16.6,11.74,14,16,15.43,15th and 16th grade,312,48,5.520833333,5,0.0119,0.3215,0.6666,0.675100744,0.067518622,0.257380635
"All people who are infected with the virus do not present with any clinical symptoms; current estimates suggest a majority of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and spread it to others, who react with severe COVID-19 disease",1021,Human,FALSE,39.16,0,13.6,13.52,15.7,11.52,14,15.75,15.36,15th and 16th grade,299,47,5.382978723,3,0.0165,0.326,0.6575,0.681257367,0.064660341,0.254082352
"Many people who are infected with the virus do not present with any medical symptoms; current estimates suggest around 35% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,13.81,16.6,11.62,14,16.25,15.51,16th and 17th grade,316,49,5.469387755,5,0.012,0.3,0.688,0.668894768,0.072058238,0.259047031
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 95% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Human,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0127,0.3107,0.6765,0.673344076,0.070433855,0.256222069
The findings support global recommendations to prioritize COVID-19 vaccine allocation for younger age groups. Relative differences between allocation strategies for older and younger age groups were increased as the speed of vaccine rollout was increased.,1022,Human,FALSE,36.79,0,12.5,18.56,17,12.17,13,11.75,12.71,12th and 13th grade,255,35,6.314285714,2,0.1514,0.8317,0.0169,0.727064073,0.105688632,0.167247295
The findings do not support global recommendations to prioritize COVID-19 vaccine allocation for older age groups. Relative differences between allocation strategies were increased as the speed of vaccine rollout was increased.,1022,Human,FALSE,30.36,0,12.9,18.73,16.2,12.55,13,10.75,12.65,12th and 13th grade,227,31,6.35483871,2,0.0094,0.3157,0.6749,0.715079844,0.089923225,0.194996953
The findings support global recommendations to prioritize COVID-19 vaccine allocation for underserved groups. Relative differences between allocation strategies were reduced as the speed of vaccine rollout was increased.,1022,Human,FALSE,23.43,0,13.5,21.51,18,13.92,14,10.5,14.17,13th and 14th grade,220,28,6.892857143,2,0.2037,0.7725,0.0238,0.686188996,0.087566428,0.226244569
The findings support global recommendations to prioritize COVID-19 Petri dishes allocation for older age groups. Relative differences between allocation strategies were reduced as the speed of vaccine rollout was increased.,1022,Human,FALSE,30.87,0,12.7,19.07,16.5,14.38,15,10.5,12.67,12th and 13th grade,223,30,6.466666667,2,0.1338,0.8387,0.0274,0.69265002,0.110569395,0.196780547
The findings support global recommendations to prioritize COVID-19 vaccine allocation for older age groups. Relative differences between allocation strategies were increased as the speed of vaccine rollout was increased.,1022,Human,FALSE,22.92,0,13.7,19.94,17,13.07,13,10.25,12.7,12th and 13th grade,220,29,6.620689655,2,0.1153,0.8625,0.0223,0.719037652,0.098202243,0.182760164
The findings support global recommendations to prioritize COVID-19 vaccine allocation for younger age groups. Relative differences between allocation strategies were reduced as the speed of vaccine rollout was increased.,1022,Human,FALSE,31.38,0,12.5,19.94,17,13.61,13,10.25,12.7,12th and 13th grade,220,29,6.620689655,2,0.2053,0.7733,0.0214,0.71739471,0.09544716,0.187158227
The findings support global recommendations to prioritize COVID-19 vaccine allocation for younger age groups. Relative differences between allocation strategies were reduced as the speed of vaccine rollout was increased.,1022,Human,FALSE,31.38,0,12.5,19.94,17,13.61,13,10.25,12.7,12th and 13th grade,220,29,6.620689655,2,0.2053,0.7733,0.0214,0.71739471,0.09544716,0.187158227
