Statement,ID,Origin,Validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_gunning_fog,True_text_standard,Characters,Words,Word_Length,Number_Count,Positive_Sentiment,Neutral_Sentiment,Negative_Sentiment,Positive_Stance,Negative_Stance,Neutral_Stance
"Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing
capacity with minimal loss of sensitivity compared with testing each sample individually.",1066,Journal,TRUE,9.22,0,18.9,16.13,19.7,12.92,12,20,19.77,19th and 20th grade,188,28,5.785714286,0,0.0491,0.7671,0.1838,0.653301418,0.049650002,0.297048509
"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis
(16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes,
hypertension, renal disease, and cardiovascular disease.",1081,Journal,TRUE,34.63,11.9,11.2,15.81,13.9,15.34,13,7,12.76,11th and 12th grade,247,34,6.352941176,8,0.0131,0.2766,0.7103,0.659300625,0.178318232,0.162381157
"We estimate that among 100,000 airline travelers, with no testing or screening, there would be
649 actively infectious passengers. A pre-travel PCR test would reduce the number of infected
passengers to 569. A rapid antigen test on the day of travel would reduce the number of
infected passengers to 560.",1082,Journal,TRUE,54.52,13.6,9.8,11.19,10.9,10.78,12,11.66666667,11.48,10th and 11th grade,304,50,5.16,15,0.0205,0.7028,0.2767,0.617937803,0.058846947,0.323215246
"In the phase 1 trial, the potential vaccine formula caused a strong antibody response that
remained elevated in all participants 3 months after the second vaccination. In the phase 2 trial,
the potential vaccine formula showed better safety outcomes.",1083,Journal,TRUE,34.76,0,13.3,13.63,13.9,11.89,11,13.75,13.95,13th and 14th grade,250,39,5.487179487,3,0.3699,0.5951,0.035,0.658145547,0.069746733,0.272107691
"We found that the number of cases of SARS-CoV-2 infection doubled every 1.56 days in
barracks-style buildings. The corresponding doubling time for apartment-style buildings was
2.65 days.",1084,Journal,TRUE,70.8,7.8,5.6,13.83,11.1,12.86,7,4.166666667,6.56,6th and 7th grade,187,27,6.037037037,7,0.0283,0.6873,0.2844,0.636661172,0.065057181,0.29828164
"Without the initial lockdown, vaccination, and increased physical distancing, we estimated 148
million COVID-19 cases, and 3.1 million deaths would occur in the UK over 10 years. In the best-case
scenario, vaccination minimizes community transmission without future periods of increased physical
distancing.",1095,Journal,TRUE,31.89,14.1,12.3,17.51,15.4,13.35,15,10.66666667,13.22,12th and 13th grade,307,42,6.404761905,9,0.0249,0.4838,0.4913,0.649100304,0.045313161,0.305586576
"When controlling for age, severity of illness, and co-morbidities, tocilizumab was not associated with
fewer deaths in this study.",1097,Journal,TRUE,43.73,0,11.9,15.37,15.8,12.06,7,13.5,16.02,15th and 16th grade,130,19,5.947368421,0,0.0284,0.6472,0.3244,0.718118429,0.10071031,0.181171253
"n Hawai‘i, white Caucasians comprise 25%, Asians including Japanese, Chinese, and other Asians
account for 30%, Hawaiians for 20%, and Pacific Islanders mostly from Micronesia and Samoa comprise
4%. We discovered that the COVID-19 rate in the latter group was up to 10 times that in all of the other
groups combined and they accounted for almost 30% of cases.",1099,Journal,TRUE,57.95,0,12.6,10.86,17.1,12.23,14,18,16,12th and 13th grade,359,60,5.05,13,0.0467,0.8678,0.0855,0.612299085,0.067252435,0.320448488
"The modeled results of COVID-19 spread in New York State and the UK have demonstrated that
if the level of testing and containment measures is preserved, the number of positive cases in
New York State remain the same during March of 2021, while in the UK it will reduce.",1166,Journal,TRUE,47.12,0,18.9,9.42,24.4,10.9,10,27.5,22.05,10th and 11th grade,270,49,4.571428571,6,0.0571,0.8696,0.0733,0.608871698,0.079614528,0.311513752
"Different amounts of antibodies produced after the two doses of vaccine were found.
Individuals with a previous natural infection developed a higher antibody level. Among the
individuals with no history of past SARS-CoV-2 infection, 5% had an antibody level at the same
order of magnitude of infected people, suggesting that they acquired the infection in an
asymptomatic way. In such individuals, one dose of vaccine may be sufficient to obtain a
protective immune response.",1170,Journal,TRUE,35.78,15.9,12.9,13.46,13.4,10.32,21,14.25,14.43,12th and 13th grade,475,74,5.5,2,0.0469,0.8639,0.0892,0.637769461,0.066726163,0.295504391
"The proposed technique exhibited great similarity with the PCR testing technique. The results
obtained point to the application potential of this simple, low-cost magneto-assay for saliva-
based point-of-care COVID-19 diagnosis.",1171,Journal,TRUE,30.87,0,12.7,18.84,17.3,13.33,13,10.5,14,12th and 13th grade,228,30,6.7,2,0.8396,0.1555,0.0049,0.621642292,0.090606034,0.287751704
"During the initial phase of the COVID-19 pandemic, stay-at-home orders and social distancing
guidelines forced United States health systems to postpone elective tests and procedures.
There was a 17% decrease in the volume of brain MRI scans during the early pandemic.",1172,Journal,TRUE,50.67,0,11.3,13.87,14.9,12.36,12,12.75,11.13,11th and 12th grade,267,41,5.585365854,4,0.0106,0.3079,0.6815,0.626978517,0.081886493,0.291134924
"It seems that the virus traveled by car on highways and motorways; and that “solo” driving, i.e.
traveling by passenger cars, that now seems to be perceived by the public as a solution, was
probably one of the means which favored the initial spread.",1182,Journal,TRUE,66.07,0,9.5,8.7,11.6,10.11,11,13.5,12.44,9th and 10th grade,249,44,4.727272727,0,0.0201,0.5327,0.4473,0.628574193,0.047698427,0.323727399
"It is discovered that pure silver and silver-contained stainless steel surfaces do not display
inhibitory effects on SARS-CoV-2 and H1N1 viruses. In comparison, both pure copper and
copper-contained stainless steel with a high copper content exhibit significant antiviral
properties.",1186,Journal,TRUE,34.76,0,13.3,18.1,17.9,11.89,14,14.25,14.98,11th and 12th grade,283,39,6.358974359,3,0.0448,0.7154,0.2398,0.635346174,0.045486387,0.319167465
"Results from hospitalized patients indicate that viral shedding in fecal matter occurs ~3–7 days
after a positive PCR test can be obtained from a nasal swab and that shedding in feces could
continue for 6–10 days following a negative nasal swab.",1194,Journal,TRUE,29.86,0,19.3,12.03,22.6,13.76,13,26.5,21.28,12th and 13th grade,245,41,5.048780488,5,0.0169,0.8664,0.1168,0.64077729,0.059331682,0.299890935
"COVID-19 patients with asthma had a significantly increased risk for mortality in Asia, but not in
Europe, North America, and South America.",1195,Journal,TRUE,40.69,0,13.1,12.76,15.1,11.9,6,15,12.44,12th and 13th grade,140,22,5.454545455,2,0.0191,0.5091,0.4718,0.684019089,0.126049042,0.18993187
"The evaluation results show high diagnosis accuracy, from 89% to 99%. The proposed method
for early detection and classification of COVID-19 through image processing using X-ray images
is proven to be usable since it provides an end-to-end structure without the need for manual
feature extraction and manual selection methods.",1199,Journal,TRUE,29.69,0,15.2,14.86,17.5,13.23,19,17.25,17.15,17th and 18th grade,326,49,5.734693878,6,0.8129,0.1808,0.0063,0.632672012,0.092344292,0.274983704
"A need for mechanical ventilation occurred in 75% of the anakinra-treated group and 31% of the control
group. Successful weaning from supplemental oxygen was attained in 27% of the anakinra-treated
group compared with 63% of the control group.",1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.473684211,8,0.1777,0.7874,0.0349,0.764199555,0.098086737,0.137713641
"A need for mechanical ventilation occurred in 75% of the anakinra-treated group and 31% of the control
group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated
group compared with 27% of the control group.",1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.473684211,8,0.1961,0.7715,0.0324,0.763161421,0.098923586,0.137914956
"A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control
group. Successful weaning from supplemental oxygen was attained in 27% of the anakinra-treated
group compared with 63% of the control group.",1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.473684211,8,0.1783,0.7872,0.0345,0.789129555,0.086502992,0.124367468
A need for mechanical ventilation occurred in 82% of the anakinra-treated group and 20% of the control group. Successful weaning from supplemental oxygen was attained in 29% of the anakinra-treated group compared with 67% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2475,0.7316,0.0209,0.754475534,0.101866581,0.143657893
A need for mechanical ventilation occurred in 81% of the anakinra-treated group and 22% of the control group. Successful weaning from supplemental oxygen was attained in 27% of the anakinra-treated group compared with 69% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2406,0.7374,0.0219,0.753624499,0.104401298,0.141974181
A need for mechanical ventilation occurred in 77% of the anakinra-treated group and 26% of the control group. Successful weaning from supplemental oxygen was attained in 33% of the anakinra-treated group compared with 63% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2579,0.7212,0.0209,0.753911197,0.102405138,0.143683657
A need for mechanical ventilation occurred in 25% of the anakinra-treated group and 70% of the control group. Successful weaning from supplemental oxygen was attained in 67% of the anakinra-treated group compared with 35% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2711,0.71,0.0189,0.770363569,0.09403801,0.135598481
A need for mechanical ventilation occurred in 83% of the anakinra-treated group and 21% of the control group. Successful weaning from supplemental oxygen was attained in 28% of the anakinra-treated group compared with 68% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2624,0.7169,0.0207,0.75787884,0.100763462,0.141357616
A need for mechanical ventilation occurred in 18% of the anakinra-treated group and 87% of the control group. Successful weaning from supplemental oxygen was attained in 64% of the anakinra-treated group compared with 36% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2427,0.7357,0.0216,0.777890086,0.088692717,0.133417264
A need for mechanical ventilation occurred in 24% of the anakinra-treated group and 86% of the control group. Successful weaning from supplemental oxygen was attained in 70% of the anakinra-treated group compared with 32% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.302,0.6798,0.0181,0.777843475,0.085532092,0.136624411
A need for mechanical ventilation occurred in 19% of the anakinra-treated group and 80% of the control group. Successful weaning from supplemental oxygen was attained in 60% of the anakinra-treated group compared with 40% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2794,0.7024,0.0182,0.773945272,0.089469954,0.136584699
A need for mechanical ventilation occurred in 23% of the anakinra-treated group and 73% of the control group. Successful weaning from supplemental oxygen was attained in 65% of the anakinra-treated group compared with 38% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2485,0.731,0.0206,0.776806116,0.09030848,0.132885456
A need for mechanical ventilation occurred in 15% of the anakinra-treated group and 88% of the control group. Successful weaning from supplemental oxygen was attained in 61% of the anakinra-treated group compared with 37% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2564,0.7231,0.0205,0.78617084,0.087403603,0.126425505
A need for mechanical ventilation occurred in 78% of the anakinra-treated group and 24% of the control group. Successful weaning from supplemental oxygen was attained in 30% of the anakinra-treated group compared with 66% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2701,0.7102,0.0196,0.755817771,0.099795304,0.144386947
A need for mechanical ventilation occurred in 79% of the anakinra-treated group and 28% of the control group. Successful weaning from supplemental oxygen was attained in 31% of the anakinra-treated group compared with 65% of the control group.,1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.421052632,8,0.2806,0.6993,0.02,0.758532107,0.099907719,0.141560152
"A need for mechanical ventilation occurred in 10% of the anakinra-treated group and 25% of the control
group. Successful weaning from supplemental oxygen was attained in 5% of the anakinra-treated
group compared with 80% of the control group.",1012,Gemini,FALSE,52.19,0,10.7,12.76,13.5,11.23,12,12.5,11.81,12th and 13th grade,242,38,5.447368421,7,0.1933,0.7741,0.0325,0.769161403,0.093924217,0.136914328
"A need for mechanical ventilation occurred in 90% of the anakinra-treated group and 5% of the control
group. Successful weaning from supplemental oxygen was attained in 1% of the anakinra-treated
group compared with 99% of the control group.",1012,Gemini,FALSE,52.19,0,10.7,12.65,13.4,11.23,12,12.5,11.81,12th and 13th grade,241,38,5.421052632,6,0.1813,0.7793,0.0394,0.745840847,0.101082765,0.153076366
"A need for mechanical ventilation occurred in 5% of the anakinra-treated group and 95% of the control
group. Successful weaning from supplemental oxygen was attained in 99% of the anakinra-treated
group compared with 1% of the control group.",1012,Gemini,FALSE,52.19,0,10.7,12.65,13.4,11.23,12,12.5,11.81,12th and 13th grade,241,38,5.421052632,6,0.1931,0.7709,0.036,0.768253088,0.095297784,0.136449113
"A need for mechanical ventilation occurred in 0% of the anakinra-treated group and 100% of the control
group. Successful weaning from supplemental oxygen was attained in 100% of the anakinra-treated
group compared with 0% of the control group.",1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,10.4,12,12.5,11.81,12th and 13th grade,243,38,5.473684211,8,0.2276,0.7343,0.0381,0.767014205,0.090276927,0.142708883
"A need for mechanical ventilation occurred in 50% of the anakinra-treated group and 50% of the control
group. Successful weaning from supplemental oxygen was attained in 50% of the anakinra-treated
group compared with 50% of the control group.",1012,Gemini,FALSE,52.19,0,10.7,12.94,13.6,9.98,12,12.5,11.81,12th and 13th grade,243,38,5.473684211,8,0.2031,0.7669,0.0299,0.762958288,0.094019726,0.143022001
"Many people who are infected with the virus always present with clinical symptoms; current estimates suggest around 100% of individuals who have SARS-CoV-2 antibodies in their blood are symptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,39.16,0,13.6,14.97,17.1,11.86,14,15.75,15.36,11th and 12th grade,313,47,5.680851064,6,0.0097,0.2295,0.7607,0.669207335,0.06820567,0.262586892
"Individuals infected with the virus invariably exhibit pronounced clinical symptoms; available evidence indicates that all persons harboring SARS-CoV-2 antibodies in their bloodstream display overt signs of infection. Consequently, these individuals are incapable of transmitting the virus to others, rendering the risk of severe COVID-19 disease negligible.",1021,Gemini,FALSE,14.29,0,17,21.47,22.1,16.1,24,19.5,22.24,16th and 17th grade,358,46,6.804347826,3,0.0139,0.3101,0.676,0.675404668,0.070404321,0.254191011
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 85% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0127,0.3085,0.6787,0.674129665,0.070367984,0.255502373
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 55% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0121,0.3007,0.6872,0.673202693,0.069604449,0.25719285
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 20% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0119,0.302,0.6861,0.67300427,0.069805361,0.257190377
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 60% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0121,0.2983,0.6896,0.672010303,0.070018463,0.257971287
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 10% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0122,0.3101,0.6777,0.672968149,0.069952294,0.257079482
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 90% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0126,0.3046,0.6828,0.6737023,0.069928266,0.256369472
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 70% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0124,0.3026,0.6851,0.673266888,0.069795668,0.256937414
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 95% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0127,0.3107,0.6765,0.673344076,0.070433855,0.256222069
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 80% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0125,0.3035,0.684,0.673039675,0.069738999,0.257221371
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 85% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0127,0.3085,0.6787,0.674129665,0.070367984,0.255502373
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 25% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0122,0.3074,0.6804,0.672733724,0.069191359,0.258074939
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 55% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0121,0.3007,0.6872,0.673202693,0.069604449,0.25719285
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 5% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.81,16.6,11.62,14,16.25,15.51,16th and 17th grade,316,49,5.469387755,4,0.0122,0.3095,0.6783,0.673607349,0.070326909,0.256065756
Many people who are infected with the virus present with clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals can only spread the virus to people who are also immunocompromised.,1021,Gemini,FALSE,42.21,0,12.5,15.37,16,10.43,10,14.25,15.03,15th and 16th grade,277,41,5.780487805,3,0.0105,0.288,0.7015,0.664356589,0.067296475,0.268346936
Many people who are infected with the virus present with clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals cannot spread the virus to others unless they are in close contact for an extended period of time.,1021,Gemini,FALSE,47.12,0,12.7,13.81,16.2,10.75,13,16.5,16.27,16th and 17th grade,308,48,5.4375,3,0.0156,0.4916,0.4927,0.658644855,0.068227947,0.273127228
Many people who are infected with the virus present with clinical symptoms; current estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals can only spread the virus to people who are not of a certain race or ethnicity.,1021,Gemini,FALSE,48.13,0,12.3,13,15,9.93,10,15.5,15.29,12th and 13th grade,289,46,5.304347826,3,0.0083,0.261,0.7306,0.655275762,0.068034269,0.276689887
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 10% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0122,0.3101,0.6777,0.672968149,0.069952294,0.257079482
"Many people who are infected with the virus do not present with any clinical symptoms; current estimates suggest around 75% of individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with severe COVID-19 disease.",1021,Gemini,FALSE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.489795918,5,0.0128,0.308,0.6792,0.6729756,0.069417112,0.257607281
"The findings support global recommendations to prioritize COVID-19 vaccine allocation for rich
groups. Relative differences between allocation strategies were reduced as the speed of vaccine rollout
was increased.",1022,Gemini,FALSE,23.43,0,13.5,20.06,16.8,13.35,13,9,12.74,12th and 13th grade,213,28,6.714285714,2,0.1983,0.7704,0.0313,0.672620058,0.09892758,0.228452384
"The findings support global recommendations to prioritize COVID-19 vaccine allocation for poor
groups. Relative differences between allocation strategies were increased as the speed of vaccine rollout
was increased.",1022,Gemini,FALSE,23.43,0,13.5,20.47,17.2,12.79,12,9,12.74,12th and 13th grade,215,28,6.785714286,2,0.0733,0.8606,0.0661,0.713669717,0.096131846,0.190198421
"The findings support global recommendations to prioritize COVID-19 vaccine allocation for uneducated
groups. Relative differences between allocation strategies were increased as the speed of vaccine rollout
was increased.",1022,Gemini,FALSE,14.97,0,14.7,21.68,18.2,13.35,13,10.5,14.17,14th and 15th grade,221,28,7,2,0.0542,0.8654,0.0804,0.675266862,0.098073669,0.226659372
"The findings support global recommendations to prioritize COVID-19 vaccine allocation for high-risk
groups. Relative differences between allocation strategies were reduced as the speed of vaccine rollout
was increased.",1022,Gemini,FALSE,23.43,0,13.5,20.87,17.7,13.92,13,9,12.74,13th and 14th grade,218,28,6.892857143,2,0.1774,0.7928,0.0299,0.704926491,0.089560382,0.205513149
"The findings support the prioritization of COVID-19 vaccine allocation for younger age groups, as they have a higher risk of hospitalization and death. Relative differences between allocation strategies were amplified as the speed of vaccine rollout was increased.",1022,Gemini,FALSE,35.27,0,13.1,16.77,16.2,12.06,13,13,13.92,12th and 13th grade,264,38,5.973684211,2,0.0581,0.7899,0.152,0.692501307,0.093046859,0.21445179
